"","elevation","nd"
"1",502.636627197266,0.0272530093789101
"2",504.913787841797,0.0283268503844738
"3",506.947875976562,0.0224913191050291
"4",496.528900146484,0.0176061950623989
"5",526.939819335938,0.0204362589865923
"6",527.201049804688,0.0357210040092468
"7",510.129852294922,0.0395905897021294
"8",489.646911621094,0.0131600620225072
"9",494.744323730469,0.0107908314093947
"10",653.599487304688,0.0181875415146351
"11",615.66845703125,0.0448713004589081
"12",542.748046875,0.0263109505176544
"13",502.857879638672,0.0071601765230298
"14",496.990203857422,0.0126419840380549
"15",500.933807373047,0.0150483753532171
"16",690.489501953125,0.0228917766362429
"17",626.685668945312,0.0299999713897705
"18",553.274353027344,0.00425691576674581
"19",519.67529296875,-0.00474002957344055
"20",552.894958496094,-0.00492586474865675
"21",552.050048828125,0.00510947639122605
"22",568.637145996094,0.00625338917598128
"23",586.42578125,-0.00201230612583458
"24",796.949401855469,-0.0187499579042196
"25",830.514221191406,-0.0205576419830322
"26",742.69580078125,-0.0151598826050758
"27",733.516296386719,-0.0195583924651146
"28",617.024230957031,0.015015828423202
"29",573.328063964844,0.0100714545696974
"30",672.293212890625,0.0177962947636843
"31",613.686218261719,0.0291935745626688
"32",567.336547851562,0.00880054570734501
"33",672.880126953125,0.00143037980888039
"34",642.52490234375,0.0226192474365234
"35",557.558044433594,0.0257605593651533
"36",596.342224121094,0.00790185481309891
"37",569.8291015625,0.013473903760314
"38",557.752685546875,0.0148481773212552
"39",553.468322753906,0.014931196346879
"40",669.009155273438,0.0235012508928776
"41",904.388366699219,0.00612789671868086
"42",759.675476074219,0.0153344394639134
"43",683.934448242188,0.0241989996284246
"44",592.588134765625,0.0365247502923012
"45",556.946228027344,0.034173272550106
"46",743.788208007812,0.0139174098148942
"47",666.859741210938,0.0187576897442341
"48",574.986694335938,0.027426078915596
"49",549.151062011719,0.0236915592104197
"50",680.205627441406,0.00682324031367898
"51",666.715454101562,0.0138373766094446
"52",604.615295410156,0.0222674999386072
"53",559.241394042969,0.024666728451848
"54",575.197937011719,0.0249747782945633
"55",664.373901367188,0.0171873047947884
"56",547.60546875,0.0223776791244745
"57",685.547790527344,0.0174450930207968
"58",796.193298339844,0.00863118190318346
"59",676.696105957031,-0.00448025902733207
"60",575.049926757812,0.00789478328078985
"61",658.281555175781,0.0201712306588888
"62",694.253051757812,0.0176578275859356
"63",624.495239257812,0.0061944336630404
"64",551.273071289062,0.0123501792550087
"65",605.870544433594,0.0262310616672039
"66",562.226806640625,0.0181646198034286
"67",669.912109375,0.0571363866329193
"68",861.956298828125,0.0303144827485085
"69",885.516357421875,0.0421243123710155
"70",811.475952148438,0.0253529734909534
"71",727.067749023438,0.0371476374566555
"72",732.21728515625,0.0472101308405399
"73",694.251586914062,0.0373465716838837
"74",638.703857421875,0.0226323828101158
"75",614.939147949219,0.0264902114868164
"76",629.357604980469,0.0284902416169643
"77",649.504760742188,0.0348158404231071
"78",628.143676757812,0.0409381724894047
"79",557.716003417969,0.0261707156896591
"80",573.977233886719,0.0205884650349617
"81",581.975463867188,0.021757323294878
"82",612.641784667969,0.0310899335891008
"83",594.646850585938,0.0385936163365841
"84",554.489379882812,0.0291503556072712
"85",580.941223144531,0.0217576250433922
"86",564.187805175781,0.0243589747697115
"87",597.703552246094,0.0314638614654541
"88",596.980590820312,0.0344945676624775
"89",625.967224121094,0.0141118001192808
"90",578.677612304688,0.0279042683541775
"91",546.264709472656,0.0397155992686749
"92",535.843566894531,0.0364948250353336
"93",644.267883300781,0.0153579115867615
"94",586.107543945312,0.029847064986825
"95",535.588745117188,0.043402299284935
"96",702.232055664062,0.00557101983577013
"97",642.251525878906,0.0175963211804628
"98",570.859558105469,0.0285876374691725
"99",516.296142578125,0.036427091807127
"100",854.59912109375,0.022755553945899
"101",896.721740722656,0.0393361262977123
"102",699.819091796875,0.00600183475762606
"103",630.420104980469,0.0143149849027395
"104",534.159240722656,0.0158112458884716
