,V1,mean_lich_pre,lich_percent_05,lich_percent_10,lich_percent_20,shrub_pre,shrub_20,tree_pre,elevation,dnbr,end_recovered
43,7336,14.32967472,11.01021004,11.97914791,13.25630283,19.40732892,22.20578957,0.000524691,957.7400513,0.019091085,92.50944695
44,7343,11.32429218,4.045993805,6.081647873,7.198327541,24.51411311,30.29549408,0.048847737,861.1995239,0.061443876,63.56536395
45,7350,11.28189913,2.619030952,4.803963184,5.689061642,27.80706596,32.77420425,0.074510289,726.9302979,0.082605839,50.42645368
46,7567,12.4499197,0.090586424,0.117901236,0.280685186,2.535524766,33.17931366,24.54100037,279.7425232,0.090067804,2.25451403
47,7574,13.58249156,0.079061732,0.124395065,0.65611726,2.617006183,32.51235199,18.8354009,294.0176697,0.083145022,4.830610479
48,7581,13.39554723,0.276364207,0.307030857,0.902290106,2.622812748,29.78793144,18.83511543,306.0376282,0.082072735,6.735746515
49,7588,12.12035783,0.259018511,0.323987663,0.731425941,5.336658637,30.74910545,22.07712491,309.5003357,0.080210268,6.034689332
50,7602,11.85955143,8.043759346,9.169586182,9.952758789,21.06207403,24.73800659,0.012592593,950.015564,0.024691559,83.92188227
51,7609,10.56060696,1.931802511,3.49575305,4.914123535,22.25217883,35.47684097,0.061469136,766.0997925,0.070211947,46.5325862
52,7833,11.8032678,0.173864201,0.085382722,0.377197504,3.114635785,32.90709686,22.19237073,281.3145752,0.08406388,3.195704025
53,7840,15.87452666,0.08069136,0.084839508,0.743907392,1.801475286,31.45298767,21.72992961,294.660553,0.080711,4.686170542
54,7847,16.00470352,0.035796296,0.102117285,0.787413597,1.703526715,28.34384537,22.7769057,302.6993713,0.083146751,4.919888682
55,7854,13.95641772,0.243425921,0.337919742,0.932814837,3.826646169,28.86512375,23.92506409,305.661499,0.084948607,6.683769827
56,7861,11.59797351,0.402061731,0.409493834,0.742388904,7.009744803,30.21125984,22.71992175,299.6575317,0.076985583,6.40102259
57,7917,11.53848775,9.94593811,10.37876511,10.57535839,23.56554159,26.718153,0.050125516,908.9165649,0.024479583,91.65289783
58,7924,10.49158065,4.876567841,5.627506256,7.190611362,24.06064796,35.76177216,0.162018518,767.3706665,0.053266026,68.53696889
59,8190,11.29051654,0.224407405,0.099666663,0.396864176,2.725162546,29.93754959,24.45962143,286.5582275,0.070823893,3.515022316
60,8197,15.08578173,0.176641971,0.173425928,0.4294568,1.949687282,28.69569778,24.54887263,297.3670349,0.069527082,2.846765304
61,8204,15.38262145,0.158790126,0.155777782,0.443067908,2.263109048,28.25401878,26.24057833,301.4023132,0.075404637,2.88031471
62,8211,12.04563586,0.205790117,0.21691975,0.53157407,3.681322972,29.79816628,25.62303098,294.4028625,0.078428388,4.413001328
63,8274,10.17842992,5.917037487,7.048993587,7.288290024,27.22185834,31.102808,0.001399177,899.8132324,0.038628414,71.60524835
64,8281,10.4569362,5.940747261,6.787376404,8.224617004,24.86577606,31.90600014,0.088693418,844.7146606,0.039598644,78.6522634
65,8925,10.22157192,2.348067999,2.295901299,2.847067833,5.510862192,23.87149429,27.34452248,288.8443604,0.068431355,27.85352248
66,9289,10.3849837,1.111697555,1.240611076,1.934339523,1.889812748,23.50399399,27.32731946,285.5603943,0.072164424,18.62631256
67,9702,13.23984782,0.244975314,0.677018523,1.814777732,1.523872455,29.32699394,29.2011687,282.3811951,0.089217812,13.706938
68,9709,12.29703299,0.094129629,0.484561741,1.382827163,6.139358044,32.21917343,28.1121877,287.3581848,0.09917298,11.24520983
69,10143,11.80710061,0.270876557,0.746098757,1.280475259,0.44163992,30.62410355,34.70078659,270.0578003,0.093558595,10.84495932
70,10598,10.07011922,0.01369753,0.562018514,0.473925918,2.293292205,31.95269775,35.64841207,264.7098083,0.101548076,4.70625926
71,10626,10.49461333,0.934530854,0.96005553,1.303277731,7.036273638,28.83111191,28.04999034,273.6061096,0.08231613,12.41853978
72,11039,10.62044017,0.259820998,1.339129686,1.367561698,1.150022646,26.5839138,31.47740173,242.811264,0.097667553,12.8766951
73,11046,10.36872641,0.021518519,0.989777803,0.524512351,2.179866234,29.51036263,35.11027781,259.1342773,0.104247585,5.058599578
74,11340,11.05692387,7.348851681,4.580685139,6.771752834,8.835747401,13.72683334,15.86170387,225.505188,0.048453156,61.24445566
75,11494,10.43059667,6.539654732,6.230222225,5.261759281,4.843481382,17.40470314,33.91010348,256.4709473,0.044267591,50.44542942
76,11508,10.19998995,1.845493793,1.738536954,1.003111124,9.065934181,30.06865501,24.13939921,261.5115967,0.104412511,9.83443247
77,11515,11.83425331,3.741944551,3.496999979,2.897469044,6.889691353,23.95395088,28.24890073,275.4859009,0.083171234,24.48375041
78,11774,13.21353658,12.31013584,1.578290105,5.87755537,8.892035325,15.52762985,16.94018491,224.9723969,0.074155934,44.4813191
79,11893,10.72446696,0.202703714,0.543691337,0.701857984,0.187442387,25.31401253,37.28121312,247.3364105,0.069888718,6.544455652
80,11900,10.42051633,0.489302456,1.023771644,1.882018447,0.521600823,23.1337719,32.93200684,241.4803925,0.071621627,18.06070244
81,11949,11.65900421,1.830314755,2.360981464,1.799907446,3.462829192,28.34237671,33.60262553,256.0231018,0.081467547,15.43791745
82,11956,12.56212552,2.505969048,2.606345654,2.501129627,2.062512358,25.35206795,35.50953293,267.5870361,0.084982865,19.91008307
83,11963,10.60846488,1.942827225,1.995709896,2.022135735,2.126687249,26.16870499,35.55325953,263.7888184,0.107591152,19.06153018
84,11991,10.23674711,0.723271608,1.055543184,1.050185204,8.330215772,26.64984512,28.97880618,269.848053,0.110596366,10.2589738
85,12012,11.99846681,3.265716076,3.444277763,2.426357985,5.671497822,25.59691429,29.90424283,262.6174316,0.100003816,20.22223358
86,12019,13.38169988,5.281407356,5.152296066,4.547864437,6.50054121,19.81524086,28.40141106,260.8650513,0.053424664,33.98570046
87,12348,11.83253924,0.812623501,0.991345704,1.681993842,2.369213978,20.73822212,25.24491374,231.4481201,0.100024983,14.21498639
88,12355,12.55573241,1.060858011,1.158469081,1.597222209,1.726121386,22.35370255,29.2481149,239.3768921,0.083235636,12.72105965
89,12362,13.37643019,0.713611126,0.892685175,1.188487649,1.677469134,24.43037605,29.95680873,239.7719116,0.081086926,8.884938894
90,12369,13.02740765,0.685574055,1.076981544,2.09067893,2.427055518,24.26741409,24.66001193,234.0826111,0.083684079,16.04831128
91,12397,11.57397715,0.519617319,1.117123485,0.886845648,3.834370295,23.18984604,26.84024684,240.0249634,0.08680401,7.662410566
92,12418,10.32838249,0.701783955,1.160814762,1.237185121,3.96768109,31.21180344,32.37504959,258.6853943,0.083740108,11.97849829
93,12425,13.07140541,0.528413594,1.157678962,1.510580182,2.544285933,28.75856209,34.25065486,260.1777344,0.094338425,11.5563716
94,12432,11.42440732,0.425672859,0.980358005,0.983246922,2.469571988,29.01411057,32.94728597,250.2371368,0.110141672,8.606546446
95,12453,10.54188061,1.177265406,1.080407381,0.918722212,5.412059625,23.01812935,28.87820244,255.7928314,0.09371528,8.714974553
96,12460,11.58878199,0.788080215,0.961802423,1.12898767,5.656255086,24.28554916,30.0078729,263.0341187,0.100530967,9.74207359
97,12691,10.45036602,9.238518715,0.920148134,4.582642078,11.8155578,16.3880806,16.03295199,208.6222992,0.061532963,43.85149831
98,12761,12.17348131,0.301067919,0.756783962,1.265753031,3.226808548,13.1713953,23.25814374,213.213974,0.106994815,10.39762578
99,12768,11.17540963,0.810006142,0.939030886,1.791388869,4.518082142,15.82722187,22.64669355,222.6296234,0.107163563,16.02973786
100,12775,11.46768538,0.744623423,0.798481464,1.542203665,5.165125529,18.42251778,24.06505966,225.3712921,0.091686524,13.4482558
101,12782,14.43416055,0.743123412,1.087882638,1.842321038,4.533596675,20.4240799,24.29245313,229.1933441,0.093989395,12.76361747
102,12866,10.08865643,0.888962924,1.207475305,1.198043227,5.076176961,20.64723587,24.35514005,240.1342926,0.083178982,11.87515142
103,12873,15.2492164,0.959814787,1.422407389,1.849549413,3.122296333,18.31514168,27.73497391,246.89888,0.087419324,12.12881609
104,12880,16.43234189,0.882691383,1.160419703,1.283123493,2.186886827,20.02159309,28.93395297,242.4317627,0.083773889,7.808524807
105,13209,10.49907843,1.309135795,1.887956738,2.684759378,0.154360081,21.85042572,38.2317187,246.5574799,0.066893518,25.57138129
106,13216,11.70035776,0.712913573,1.37199378,2.204395056,0.568216066,25.23266029,34.16503143,250.4473267,0.068501398,18.84040729
107,13230,10.35210482,3.264172792,3.167500019,2.777888775,8.374245008,24.79111099,24.56429164,236.7177734,0.066749685,26.83404798
108,13251,14.77048969,0.739493787,2.200357914,2.773413658,3.123026689,17.79669762,27.39823405,236.6313019,0.08070071,18.77672112
109,13258,19.88107681,0.717222214,2.720536947,3.392104864,0.388973256,15.88117886,29.99798965,233.2075958,0.080904871,17.06197756
110,13265,13.10520363,1.043975234,2.418839455,2.004956722,2.590152264,20.30475235,22.87020365,225.442749,0.071788557,15.29893605
111,13531,13.42752679,0.956802487,1.752370358,2.891252995,0.025176954,21.74916077,35.54516729,246.2501068,0.065343991,21.53228245
112,13538,15.44609896,0.838858068,2.065574169,2.992203712,0.744037012,21.03642654,33.96954854,244.5331268,0.067269631,19.37190562
113,13545,13.01496919,1.233975291,2.419006348,2.679123402,4.989347776,23.90596962,27.79469999,238.098053,0.064421795,20.58493849
114,13559,10.90245883,1.453611135,2.253987551,1.882438302,6.49287049,23.84586525,20.98285993,228.6725464,0.068878278,17.26618125
115,13566,17.90178808,1.128574133,2.867919683,3.134425879,1.266417662,17.36682701,26.86376127,232.6302032,0.079989187,17.50901008
116,13573,16.10625712,2.056228399,3.045753002,3.898672819,0.601399183,16.07091904,26.61069934,222.3250275,0.073116265,24.2059517
117,13783,11.47315439,0.147845685,0.216932103,0.882660508,4.333683173,28.71811104,28.00733693,220.9903717,0.074123643,7.693267941
118,13790,14.4493351,0.207814813,0.305024683,1.27994442,1.538123488,27.21140099,30.94554075,229.393219,0.072695695,8.858154449
119,13797,13.14798133,0.150839508,0.309246927,1.099327207,0.932084382,29.1029377,33.76329931,242.7462158,0.07036344,8.361186249
120,13804,12.42329216,0.899549365,1.316537023,2.162950516,0.588078191,25.90458679,34.17929713,245.9984283,0.066453516,17.41044554
121,13811,12.3011481,0.921851814,1.272018552,2.008796215,0.443823049,25.41008568,33.58591334,240.9726105,0.065010451,16.33015227
122,13818,10.46731695,0.505586386,0.756185174,1.076290131,0.586047331,28.63386917,33.73660151,248.9688263,0.068090841,10.2823879
123,13846,12.92363962,1.123413563,1.659265518,2.49417901,0.205592593,20.16801834,28.13838704,238.1047363,0.064190544,19.2993544
124,13853,18.25121943,1.402172804,2.639506102,3.69109869,0.261543204,15.25529671,28.85335414,242.3344421,0.071489133,20.22384698
125,13860,17.5051136,0.996166706,2.685166597,3.523370266,0.394967069,18.01265526,28.71051852,240.8341827,0.072317697,20.12766296
126,13874,10.30519136,1.068376541,1.991246819,1.558006167,3.626032909,21.72790146,20.08326149,224.1655731,0.072564535,15.11865344
127,13881,12.68672466,1.809413671,3.247722149,2.390808582,0.907055557,18.21927071,22.84425672,220.9732513,0.07593181,18.84496311
128,14098,12.10562801,0.145098761,0.156012341,0.525117278,1.345053514,28.48456192,33.60764821,232.1648712,0.087537304,4.337794599
129,14105,11.22016843,0.350370377,0.417265445,0.822246909,0.79260083,30.60886383,34.45945485,234.5497437,0.081170656,7.328293814
130,14112,10.34243202,0.43462345,0.502209902,1.061407447,2.281744877,31.5879631,30.5441583,227.2705994,0.07203795,10.26264852
131,14133,10.18140729,0.0195,0.034185186,0.356746912,0.311499993,31.36883354,32.47468885,237.9116669,0.069588944,3.503905715
132,14168,10.13762951,0.261888891,0.460833341,0.715641975,0.771808644,28.17167854,30.55272865,238.1341705,0.064883292,7.059263458
133,14175,13.17720159,0.436827153,1.248882771,1.790716052,1.411226312,26.0409317,26.32230441,234.7573853,0.070819974,13.58950184
134,14182,16.6566728,0.468697548,1.629648209,3.466802597,0.879872402,21.26511765,28.48279826,232.2512665,0.072010651,20.81329591
135,14189,11.50272624,0.23869136,0.792604923,2.136154413,1.631479422,19.60267258,23.6488107,224.3297424,0.073010974,18.57085328
136,14441,12.61889903,0.781098783,1.011740685,2.328679085,1.712872386,20.52146912,24.84838231,200.4143982,0.080922186,18.45390061
137,14448,13.15918477,0.398401231,0.516401231,1.424679041,1.732117295,26.30914116,30.8978742,212.7354889,0.086169824,10.82649925
138,14455,12.33231894,0.198370367,0.230728403,0.727160513,2.110063791,30.80607986,30.5773379,218.2930603,0.07665091,5.89638102
139,14462,12.1165905,0.194938272,0.273907423,0.725524664,2.074483474,31.88250732,29.5478274,214.0531464,0.071393229,5.987861552
140,14469,10.95585601,0.066061728,0.126975313,0.442253083,1.445047339,33.01620865,32.05353292,224.0211029,0.069445997,4.036682143
141,14476,10.30218728,0.171987668,0.198827162,0.43240121,1.109440366,31.22960472,32.20528285,221.3078613,0.069556229,4.197178698
142,14805,10.83439922,0.313345701,0.34858641,0.644796312,1.515294234,30.65407944,32.50884819,241.1020813,0.068841644,5.9513804
143,15043,10.19800822,0.082746916,0.112228394,3.39520359,3.630360047,24.68548203,29.94391823,363.9145813,0.074079767,33.29281088
144,15050,10.77196916,0.273703694,0.551166654,3.450160503,5.737765312,24.13712311,27.67053986,349.8251648,0.070343278,32.02906035
145,15078,10.05632941,0.194746912,0.190104932,0.277925938,1.435010274,33.49209976,36.49927902,245.4483795,0.062377177,2.763691672
146,15148,14.11900997,0.349956781,0.649765432,1.877820969,0.648697525,24.08836365,27.67927742,234.5899658,0.081264786,13.29994789
147,15155,12.8192962,0.207246915,0.369851857,1.134759188,1.18660907,22.58382034,25.24230703,219.0788269,0.085581146,8.851961683
148,15323,10.38289483,0.231993824,0.387592584,3.010148048,2.58816874,27.60962296,30.64374987,349.2748108,0.064542882,28.99141421
149,15330,12.37572797,0.111302465,0.23581481,2.611222267,3.933113098,25.20285225,29.8852965,348.746582,0.066398323,21.0995448
150,15337,12.65750853,0.17207408,0.342580259,3.857030869,4.824088494,22.71673965,28.7474467,342.6523438,0.07025487,30.47227548
151,15344,14.18518511,0.222055554,0.633061767,3.950055599,4.882359982,23.09294319,27.07958285,333.4015503,0.071098186,27.84634509
152,15351,12.4038868,0.597117245,1.085629582,2.708611012,6.20994854,25.64314079,25.65606753,317.0878296,0.071148925,21.83679242
153,15365,10.36199983,0.099814817,0.114660494,0.181049377,1.51778396,32.62372971,37.80248769,247.0111237,0.072822258,1.747243579
154,15372,10.21079636,0.162475303,0.219938278,0.321376532,1.414615194,32.04275513,38.41347249,256.308197,0.073351905,3.14741888
155,15421,10.77718131,0.773413599,1.062376499,1.362882733,0.859055579,26.1268158,32.83328819,246.136795,0.075797692,12.64600357
156,15428,13.32597733,0.567123473,0.837462962,1.084487677,0.507207821,25.00845718,33.62885793,242.060257,0.086501487,8.138147395
157,15435,13.5685002,0.579339504,0.755185187,1.195240736,0.366580253,20.05151939,27.95885849,228.4313507,0.094157979,8.808937748
158,15526,11.07026545,5.191703796,7.084894657,10.68567276,1.327606996,7.670629501,23.97807439,202.1634521,0.047021158,96.52589458
159,15631,10.38613574,0.755129635,1.225814819,4.860537052,2.588623444,22.69654846,29.49474462,330.4367065,0.060385723,46.79832014
160,15638,10.66534964,0.388450623,0.823209882,3.597215891,2.702849865,21.91932106,31.66657066,332.3594055,0.063075632,33.72806342
161,15645,12.98279826,0.559067905,0.879944444,3.711734533,4.685940425,21.33202553,28.82744471,327.9966736,0.067235768,28.58963422
162,15715,10.69940122,0.293283969,0.573629618,1.170530915,1.523417711,25.5447216,35.09665807,252.4285431,0.070954368,10.94015348
163,15722,12.81315009,0.347432107,0.881265461,1.312308669,0.669016461,24.31792641,34.11879094,242.3190765,0.07491225,10.24188947
164,15729,14.26429431,0.920913577,1.306858063,2.644320965,0.275952677,17.91388893,28.2483298,232.4032288,0.08291319,18.53804267
165,15736,10.22139517,1.260703683,1.005049348,2.456234455,0.681423883,17.04307365,21.57832273,214.4507446,0.095570803,24.03032476
166,15918,12.16480637,0.554074049,0.64082098,2.402487516,3.336687326,23.0814743,34.13613764,330.4619141,0.092715733,19.74949246
167,15946,16.46046893,1.464938283,2.359567881,5.107320786,2.84250617,20.48206139,29.26629066,309.9702148,0.071762219,31.0277964
168,15953,15.08310699,0.957654297,1.502604961,3.313987494,6.388358116,25.51775932,23.15571022,299.93927,0.053986367,21.9715175
169,15988,11.5193704,3.011092663,3.480759382,5.053956985,1.098668714,13.52343845,26.66830508,225.6430359,0.049536265,43.87355221
170,16177,10.12321599,0.294037044,0.451876551,2.463154316,0.898417711,22.882061,38.73290253,326.2698975,0.098042607,24.33173724
171,16184,12.34921837,0.888166666,1.129851818,3.393493891,2.249831239,21.41154289,34.29396184,309.6708374,0.082421653,27.4794225
172,16205,14.11811129,1.399080276,2.496333361,5.254629612,1.613002062,21.35441399,32.35588074,301.2661438,0.074351013,37.2190692
173,16212,13.61813354,1.530549407,2.581746817,4.367734432,3.98515439,22.9347229,25.14376513,290.2657166,0.053150736,32.07292995
174,16219,11.61124484,2.165191412,2.595586538,3.298061609,6.136958758,22.83729744,22.42480214,292.8374023,0.037435289,28.40403123
175,16296,10.12402248,2.04308033,2.133722305,2.374290228,3.995621443,21.3199749,25.27592405,186.3102722,0.042875551,23.4520442
176,16492,10.44767062,0.940666676,1.129104972,1.673012376,2.070409417,23.10891342,34.80389277,292.5752563,0.078815959,16.01325728
177,16506,12.43977801,5.143314838,5.119580269,5.306098938,3.539755185,17.07020378,23.90540695,286.5190735,0.033110578,42.6542896
178,16513,17.88238017,3.548537016,4.136296272,5.862722397,1.176166634,17.7345314,26.1610864,313.8878479,0.059861224,32.78491086
179,16520,17.05209414,2.299703836,3.044759035,5.214592457,0.946506162,19.08587646,25.93891716,320.8954773,0.058385909,30.58036399
180,16527,11.96051852,4.969123363,5.188808441,6.208925724,1.9420741,16.27472305,27.78630447,320.7991333,0.032314047,51.91184407
181,16758,11.82046477,1.517148137,1.866530895,1.558654308,2.209810654,23.62061691,30.27697754,272.815918,0.059623476,13.18606619
182,16765,18.2425162,2.214876413,2.729098797,3.924808502,0.204438274,19.13740158,29.4822801,289.6584473,0.052338514,21.51462254
183,16772,18.44834201,1.261333346,1.975888848,3.867604971,0.239203701,20.85258675,27.70837593,304.2605896,0.061200365,20.96451253
184,16779,13.23614216,2.022716045,2.742178917,3.304018497,1.058858017,21.4139576,25.73900541,308.7180176,0.044831105,24.96209589
185,16877,11.96851635,2.283956766,2.294901133,2.82668519,1.817681074,22.71272278,31.86008835,202.838089,0.039518286,23.61767413
186,16989,11.60249201,0.682314813,1.075037003,3.322382689,0.418806583,21.01675415,37.61202113,310.3504944,0.096136063,28.63507843
187,17017,13.71213563,0.88683331,1.51248765,1.592141986,0.237559666,23.1954689,30.35716311,291.7087097,0.058929853,11.61118901
188,17024,14.26513163,0.843043208,1.79138267,2.398234606,0.286008234,22.11195564,29.45573489,293.6773071,0.051843349,16.81186453
189,17031,12.47348563,1.274142027,2.274413586,2.613857985,0.494905353,23.30017281,31.82869975,315.0606384,0.0571783,20.95531323
190,17122,11.96721013,2.874111176,2.954407454,3.607703686,2.735530853,21.04170418,28.1047287,206.7340546,0.0281503,30.14657255
191,17129,12.8712333,1.707125783,1.814238191,2.507518291,0.906278531,26.30286598,35.91707993,210.1190643,0.043211587,19.48156973
192,17234,10.54062335,1.855345607,2.750697613,4.792148113,0.126598765,16.98797417,39.74110031,298.8705444,0.078306094,45.46361212
193,17241,11.05357806,1.065728426,1.487345695,2.760135889,0.96443212,22.76875877,38.60542806,304.0765381,0.088690713,24.97051972
194,17248,10.25123024,0.78988272,0.890216053,1.290518522,1.6459198,24.38709259,33.31913249,267.1099854,0.081532851,12.58891364
195,17262,11.09811306,0.530148149,1.184067845,1.52066052,0.503783941,23.76554298,33.29247793,276.0406799,0.062791713,13.70197358
196,17269,13.7403024,1.192944407,2.921586514,3.5458951,0.090493827,18.99772835,32.4465065,292.9230957,0.058082633,25.80652882
197,17276,11.87313557,0.938117266,2.297765493,2.919506311,1.46532921,20.40414238,34.43831889,311.539093,0.070997767,24.58917693
198,17465,10.29527569,3.541839361,5.268629551,6.929302216,0.005421811,9.075605392,37.93172836,275.5568848,0.065284722,67.30564995
199,17472,14.13147132,2.266283989,3.276790142,5.397882462,0.322668721,14.61429024,35.44810232,292.0976563,0.080619514,38.19759699
200,17479,14.73246288,2.229598761,2.749364138,4.19411087,1.241154313,17.78295708,27.96824265,270.7450867,0.072346404,28.46849779
201,17486,10.4424998,1.63180244,1.84780252,2.696641922,1.599561731,21.20497513,28.61156527,248.0662994,0.064713947,25.82372013
202,17500,11.13515631,1.634796262,2.538685083,2.137240648,0.593055556,22.408741,32.14197922,271.4506836,0.056099977,19.19362951
203,17675,13.4241298,1.262993813,2.436864138,4.44842577,0.02272428,16.57462311,36.28017807,281.3944092,0.081824943,33.13753543
204,17682,14.73786418,2.298129559,3.263296366,5.050111294,1.089403311,16.43580246,30.95140457,272.5151978,0.071806341,34.26623582
205,18333,11.05421797,0.089796297,0.056376547,0.431771606,1.761615276,34.2707634,39.16799037,298.643158,0.106633827,3.905944384
206,18340,10.05867672,0.116166666,0.121932097,0.528382719,4.397269487,36.32118607,35.14314524,286.1227112,0.091896474,5.25300428
207,18522,10.07427375,0.109333329,0.039314814,0.198203698,3.816500028,28.5760746,35.77420298,278.3729248,0.10951297,1.967424182
208,18529,10.31191127,0.145203695,0.088567905,0.115740739,2.615962903,31.97810364,33.79417292,270.1893311,0.097753748,1.122398514
209,18536,10.82683976,0.298685193,0.453925908,0.605685174,2.329617262,34.36957932,31.69521586,261.739624,0.081342995,5.594293327
210,18543,11.59151681,0.647888899,0.651320994,0.472623467,2.463148197,35.39692688,32.10098775,275.019165,0.090304837,4.07732202
211,19495,12.00726128,10.09211159,9.61108017,8.715796471,6.00538063,12.94194412,30.45382055,351.9758606,0.03783787,72.58771397
212,19502,12.28610897,9.531241417,9.069815636,8.628573418,5.902218183,13.40448093,31.11467743,368.1426086,0.039162025,70.23031814
213,20328,10.46909904,9.539808273,9.246592522,8.7660923,8.765948296,10.93601227,29.10475095,357.0809326,0.02367959,83.73301526
