"","range","area_km2","percent_cover_1985","percent_cover_1990","percent_cover_1995","percent_cover_2000","percent_cover_2005","percent_cover_2010","percent_cover_2015","percent_cover_2020"
"1","total",280827.812015146,5.2803981301765,5.26394031890576,5.17516099455682,5.08626557465322,4.70884805673407,4.65234754617391,4.66415893434485,4.69431235472338
"2","summer",72800.3705892378,1.96569310167009,2.02481601350374,2.07026387914311,2.09904023126527,2.12275576624763,2.11819035343964,2.09928009023864,2.08012058465511
"3","winter",242146.261716972,5.90506458323572,5.87410085934623,5.76129286487931,5.65082170179225,5.2078543833678,5.14213878490765,5.15832701506583,5.19604662510196
